id,pl,en
0,dziedzina nie ustawiona,unspecified
1,najwyższe w hierarchii,the highest in the hierarchy
2,czynności (nazwy),act
3,wytwory ludzkie (nazwy),artefact
4,cechy ludzi i zwierząt,attribute
5,części ciała,body
6,związane z myśleniem,cognition
7,związane z porozumiewaniem się,communication
8,zdarzenia,event
9,"uczucia, odczucia i emocje",emotion
10,jedzenie,food
11,grupy ludzi i rzeczy,group
12,miejsca i umiejscowienie,location
13,cel działania,motive
14,obiekty naturalne,natural object
15,ludzie,person
16,zjawiska naturalne,natural phenomenon
17,nazwy roślin,plant
18,posiadanie i jego zmiana,possession
19,procesy naturalne,process
20,"ilość, liczebność, jednoski miary",quantity
21,zwierzęta,animal
22,kształty,shape
23,sytuacje statyczne (stany),state
24,substancje,substance
25,czas i stosunki czasowe,time
26,"związek miedzy ludźmi, rzeczami lub ideami",relation
27,pielęgnacja ciała,body
28,"zmiana wielkości, temeraturym natężenia, itp.",change
29,czasowniki myślenia (szeroko rozumianego),cognition
30,"czasowniki mówienia, śpiewania itp.",communication
31,czasowniki rywalizacji fizycznej,competition
32,czasowniki jedzenia,consumption
33,"czasowniki oznacz. kontakt fizyczny (dotykanie, uderzenie, rycie itp.)",contact
34,czasowniki oznacz. wytwarzanie czegoś,creation
35,czasowniki wyrażające uczucia,emotion
36,czasowniki ruchu,motion
37,Czasowniki postrzegania (percepcji),perception
38,czasowniki posiadania i zmiany posiadania,possession
39,czasowniki oznacz. wydarzenie i działania społeczne i polityczne,social
40,czasowniki stanowe,state
41,czasowniki oznacz. zjawiska pogodowe,weather
42,przymiotniki jakościowe,quality
43,przymiotniki relacyjne (rzeczownikowe),relation
44,przymiotniki odczasownikowe,deverbal
45,przymiotniki odprzymiotnikowe (natężenie cechy),deadjectival
46,"systematyka, klasyfikacja",classification
47,PWN: all adjective clusters,adjective
48,PWN: all adverbs,adverb
